UID,PAPER ID,Included from,Snowballing direction,Title,Authors,Venue.acronym,Venue.type,Year,Architecture.keywording,ATDI.keywording,Analysis.keywording,Temporal.dimension,Source.keywording,ATD.resolution,Tool.supported,Industry.involvement,Tool.availability,Rigor,Rigor - context,Rigor - design,Rigor - validity,Relevance,Industrial relevance - subjects,Industrial relevance - context,Industrial relevance - scale,Industrial relevance - method
1,12,Initial,-,A case study in locating the architectural roots of technical debt,"Kazman, Rick; Cai, Yuanfang; Mo, Ran; Feng, Qiong; Xiao, Lu; Haziyev, Serge; Fedak, Volodymyr; Shapochka, Andriy",ICSE,C,2015,Source Code Files,"Change Proneness, Non-Modularity, Dependency Violations","OO Relation Analysis, Evolution Analysis",Y,"SC, ED, IT",Y,"Titan, Understand",M,N,2.50,1,1,0.5,4,1,1,1,1
2,20,Initial,-,A Contextualized Vocabulary Model for identifying technical debt on code comments,"de Freitas Farias, Mário André; de Mendonça Neto, Manoel Gomes; da Silva, André Batista; Spínola, Rodrigo Oliveira",MTD,W,2015,-,"Non-Modularity, Dependency Violations",Self Admitted,N,SC,N,eXcomment,A,Y,0.50,0,0,0.5,1,0,0,1,0
3,30,Initial,-,A genetic approach to architectural pattern discovery,"Peters, Joeri; van der Werf, Jan Martijn EM",SAEroCon,W,2016,Source Code Packages,Compliance Violations,"Architectural Antipatterns, Compliance Checking",N,SC,N,HUSACCT,A,Y,2.00,1,1,0,1,0,0,0,1
4,41,Initial,-,A semi-automated framework for the identification and estimation of Architectural Technical Debt: A comparative case-study on the modularization of a software component,"Martini, Antonio; Sikander, Erik; Madlani, Niel",IST,J,2017,Source Code Packages,"Compliance Violations, Non-Modularity","Architectural Antipatterns, Modularity Analysis, Cost Analysis, Evolution Analysis",Y,"SC, ED",Y,-,A,N,3.00,1,1,1,4,1,1,1,1
5,83,Initial,-,An empirical investigation of modularity metrics for indicating architectural technical debt,"Li, Zengyang; Liang, Peng; Avgeriou, Paris; Guelfi, Nicolas; Ampatzoglou, Apostolos",QoSA,C,2014,Source Code Packages,"Non-Modularity, Other","Architectural Antipatterns, Modularity Analysis, Evolution Analysis",Y,"SC, ED",N,"ModularityCalculator, CommitAnalyzer",A,Y,2.00,0.5,0.5,1,3,1,0,1,1
6,86,Initial,-,An empirically developed method to aid decisions on architectural technical debt refactoring: Anacondebt,"Martini, Antonio; Bosch, Jan",ICSE,C,2016,-,Compliance Violations,"Cost Analysis, Survey, Evolution Analysis",Y,"S, ED",Y,,A,N,1.50,0.5,0.5,0.5,4,1,1,1,1
7,89,Initial,-,An experience report on detecting and repairing software architecture erosion,"Fontana, Francesca Arcelli; Roveda, Riccardo; Zanoni, Marco; Raibulet, Claudia; Capilla, Rafael",WICSA,C,2016,Source Code Packages,"Compliance Violations, Dependency Violations","Architectural Antipatterns, Compliance Checking",N,"SC, AD",Y,"SonarGraph, Structure101",A,Y,1.50,0.5,1,0,3,1,0,1,1
8,92,Initial,-,An investigation of technical debt in automatic production systems,"Besker, Terese; Martini, Antonio; Bosch, Jan; Tichy, Matthias",XPConf,W,2017,-,"Dependency Violations, Non-Modularity, Other","Survey, Cost Analysis",N,S,N,-,A,N,2.00,0.5,1,0.5,4,1,1,1,1
9,101,Initial,-,Arcan: A Tool for Architectural Smells Detection,"Fontana, Francesca Arcelli; Pigazzini, Ilaria; Roveda, Riccardo; Tamburri, Damian; Zanoni, Marco; Di Nitto, Elisabetta",ICSA,C,2017,"Source Code Packages, Source Code Classes","Change Proneness, Dependency Violations, Non-Modularity","Architectural Antipatterns, Modularity Analysis, Change Impact Analysis",N,SC,Y,Arcan,A,Y,1.50,0.5,0.5,0.5,4,1,1,1,1
10,113,Initial,-,Architectural dependency analysis to understand rework costs for safety-critical systems,"Nord, Robert L.; Ozkaya, Ipek; Sangwan, Raghvinder S.; Koontz, Ronald J.",ICSE,C,2014,C&C,"Dependency Violations, Non-Modularity","Modularity Analysis, Cost Analysis, Architectural Antipatterns, Visualization, Change Impact Analysis, Evolution Analysis",Y,"AD, ED",Y,Lattix,M,N,2.00,0.5,1,0.5,3,1,0,1,1
11,118,Initial,-,Architectural technical debt identification based on architecture decisions and change scenarios,"Li, Zengyang; Liang, Peng; Avgeriou, Paris",WICSA,C,2015,C&C,"Compliance Violations, Dependency Violations, Non-Modularity, Other","Change Impact Analysis, Survey",N,"AD, S",Y,-,A,N,2.50,0.5,1,1,4,1,1,1,1
12,119,Initial,-,Architectural Technical Debt in Embedded Systems,"Martini, Antonio; Bosch, Jan",INOCSE,C,2016,-,"Compliance Violations, Dependency Violations, Non-Modularity",Survey,Y,S,Y,-,A,N,1.50,1,0.5,0,4,1,1,1,1
13,126,Initial,-,Architecture technical debt: Understanding causes and a qualitative model,"Martini, Antonio; Bosch, Jan; Chaudron, Michel",SEAA,C,2014,-,Compliance Violations,Survey,Y,"AD, S",Y,-,A,N,1.50,1,0.5,0,4,1,1,1,1
14,140,Initial,-,Automatic Detection of Instability Architectural Smells,"Fontana, Francesca Arcelli; Pigazzini, Ilaria; Roveda, Riccardo; Zanoni, Marco",ICSME,C,2016,Source Code Packages,"Change Proneness, Dependency Violations, Non-Modularity","Architectural Antipatterns, Dependency Analysis",N,SC,N,Arcan,A,Y,1.00,0.5,0.5,0,1,0,0,1,0
15,174,Initial,-,Decoupling level: a new metric for architectural maintenance complexity,"Mo, Ran; Cai, Yuanfang; Kazman, Rick; Xiao, Lu; Feng, Qiong",ICSE,C,2016,Source Code Files,Non-Modularity,"Architectural Antipatterns, Modularity Analysis, Dependency Analysis, Evolution Analysis",Y,"SC, ED, IT",N,Titan,A,N,2.50,0.5,1,1,4,1,1,1,1
16,188,Initial,-,Does Technical Debt Lead to the Rejection of Pull Requests?,"Silva, Marcelino Campos Oliveira; Valente, Marco Tulio; Terra, Ricardo",SBSI,C,2016,-,"Non-Modularity, Dependency Violations, Other","Manual Classification, Self Admitted",N,"SC, ED",N,-,A,N,1.00,0,0.5,0.5,4,1,1,1,1
17,207,Initial,-,Estimating the principal of an application's technical debt,"Curtis, Bill; Sappidi, Jay; Szynkarski, Alexandra",IEEE Softw.,J,2012,-,"Dependency Violations, Non-Modularity","Architectural Antipatterns, Modularity Analysis, Cost Analysis",N,SC,N,CAST AIP,I,N,0.50,0,0.5,0,4,1,1,1,1
18,237,Initial,-,Guiding flexibility investment in agile architecting,"Fernández-Sánchez, Carlos; Díaz, Jessica; Pérez, Jennifer; Garbajosa, Juan",HICSS,C,2014,C&C,"Other, Non-Modularity","Survey, Change Impact Analysis",Y,"AD, S",N,,A,N,1.50,0.5,0.5,0.5,1,0,0,0,1
19,239,Initial,-,Hotspot patterns: The formal definition and automatic detection of architecture smells,"Mo, Ran; Cai, Yuanfang; Kazman, Rick; Xiao, Lu",WICSA,C,2015,Source Code Files,"Change Proneness, Dependency Violations, Other, Non-Modularity","Architectural Antipatterns, Evolution Analysis, Modularity Analysis",Y,"SC, ED, IT",N,"Hotspot Detector, Titan",A,N,2.00,0.5,1,0.5,4,1,1,1,1
20,250,Initial,-,Identifying and quantifying architectural debt,"Xiao, Lu; Cai, Yuanfang; Kazman, Rick; Mo, Ran; Feng, Qiong",ICSE,C,2016,Source Code Files,"Change Proneness, Dependency Violations, Other, Non-Modularity","Evolution Analysis, Cost Analysis, Architectural Antipatterns, Modularity Analysis",Y,"SC, ED, IT",N,Titan,A,N,2.00,0.5,1,0.5,4,1,1,1,1
